epoch, lambda=0.001, lambda=0.0015, lambda=0.0022500000000000003, lambda=0.003375, lambda=0.0050625, lambda=0.00759375, lambda=0.011390625, lambda=0.0170859375, lambda=0.02562890625, lambda=0.038443359375, lambda=0.0576650390625, lambda=0.08649755859375
1, 0.17079080611374045, 0.17079080611374045, 0.17079080611374045, 0.17079080611374045, 0.17079080611374045, 0.17079080611374045, 0.17079080611374045, 0.17079080611374045, 0.16864120639555258, 0.1686412074969609, 0.16864518159528072, 0.16864518159528072
2, 0.16664986456405698, 0.16665006688501263, 0.16665333389210168, 0.16667994288922172, 0.16668099393999591, 0.16848977405748353, 0.16848977405748353, 0.16848977405748353, 0.16702036880607662, 0.16690551542851448, 0.16832755027764731, 0.16655906665663642
3, 0.16500817220489117, 0.16500817220489117, 0.16500817220489117, 0.16500817220489117, 0.16500817220489117, 0.16534105331688773, 0.16533686777053413, 0.16368091997137674, 0.1656952181828564, 0.16777659307580414, 0.1657655662929414, 0.16732436394250627
4, 0.1636556309835347, 0.1636556309835347, 0.1636556309835347, 0.16365572761231417, 0.1636557779065946, 0.1619587382511438, 0.16149660888107417, 0.16290351574919373, 0.16437455707158302, 0.16479031461853041, 0.1640772187122813, 0.1644498383434428
5, 0.1629658134617834, 0.1629658134617834, 0.16296589996455696, 0.16296589996455696, 0.16288733152245297, 0.16032458856297852, 0.15908966606357364, 0.16219966774416908, 0.1602585043131244, 0.16243709930065744, 0.16324517786818774, 0.16327671086067946
6, 0.16068037158658938, 0.16068041698964244, 0.16068041944475867, 0.16068039992492458, 0.15854089358121135, 0.1594747579203018, 0.1575916661393614, 0.16072543546244739, 0.15906240317226336, 0.15950326441405754, 0.16190753919055897, 0.16357885987041298
7, 0.15609012437981912, 0.15642838923654803, 0.15731473285717087, 0.15642866867550348, 0.15733692076741865, 0.15817503796891047, 0.15628171793820175, 0.15985713597339674, 0.15803240183713288, 0.15932748184524778, 0.16275068722598177, 0.16182074479282557
8, 0.15590034835747865, 0.15579338898850748, 0.15719904724786737, 0.1552446389316083, 0.1564008649368387, 0.15670962996193014, 0.15528053283816476, 0.15779885005145963, 0.15796401064375418, 0.15757570180669092, 0.16328702109851687, 0.16167400641786953
9, 0.15489652859850644, 0.15501722418217798, 0.15527632894602694, 0.15457759304076105, 0.1558372257086165, 0.15475580909522435, 0.15378962799329862, 0.15628921620020325, 0.1565386500815575, 0.157466160795189, 0.16129152463306476, 0.15964194128114548
10, 0.15394453617541404, 0.15347752324460742, 0.1542121843084489, 0.15342452896589173, 0.15442547797998263, 0.153371731568625, 0.15273557135359211, 0.15631580290231695, 0.15459817203836831, 0.1562928018177571, 0.1601924828694502, 0.1598485966825463
